PDF Path,Text,cleaned_Text
13.pdf,"Non Staff member 1’s statements provided to the ITF Investigators, disclosed the following two distinct cases: Case A On 25-26 July 2004, Non Staff member 1 alleges to have visited Official 1 (Pristina Airport) asking how he/she could obtain employment at Pristina Airport. He/she stated that Official 1 had replied that this was possible, but only via the payment of a considerable amount of money. Non Staff member 1 was aware that two other persons, Non Staff member 2 and Non Staff member 3 had already paid €7,000.00 each, to Official 1 through the same procedure, in the hope of receiving employment at Pristina Airport.",non staff member 1 statement provide itf investigators disclose follow distinct case case 2526 july 2004 non staff member 1 allege visit official 1 pristina airport ask obtain employment pristina airport state official 1 reply possible payment considerable money non staff member 1 aware person non staff member 2 non staff member 3 pay 700000 official 1 procedure hope receive employment pristina airport
13.pdf,"Non Staff member 1’s statements provided to the ITF Investigators, disclosed the following two distinct cases: Case A Non Staff member 1 told the ITF that he/she was called again, two days later, in order to pay an additional € 1.000,00, which he/she had then given to Official 2’s Secretary, in the presence of his/her father, Official 1, during a dinner that Official 1 and his daughter were having at the same mentioned restaurant. Non Staff member 1 also said that he/she paid approximately € 180 for that night’s dinner and that he/she was called, always by Official 2’s Secretary, to two further dinners at Restaurant 2 and at Restaurant 1. Non-Staff member 1 was requested to pay, amounts of € 225 and € 190 for the dinners. Non Staff member 1 stated that during the dinner, the following Pristina Airport staff were present: Security Official, a Secretary, Official 2, X-Ray Official, Official 1, Official 2’s Secretary, Official 3, Official 4 and one person who only spoke English (name unknown). This person may have been Official 5, because Non Staff member 1 stated that this person was not a Kosovar, but an International and furthermore, at a certain point when this person was not present, all the others congratulated Non Staff member 1 for his new job. The Investigators believe that the above-mentioned Airport staff were attempting to demonstrate to Non Staff member 1 that they were in contact with the competent person who could authorize his employment.",non staff member 1 statement provide itf investigators disclose follow distinct case case non staff member 1 tell itf call day later order pay additional 100000 give official 2s secretary presence father official 1 dinner official 1 daughter have mention restaurant non staff member 1 say pay approximately 180 night dinner call official 2s secretary dinner restaurant 2 restaurant 1 nonstaff member 1 request pay amount 225 190 dinner non staff member 1 state dinner follow pristina airport staff present security official secretary official 2 xray official official 1 official 2s secretary official 3 official 4 person speak english unknown person official 5 non staff member 1 state person kosovar international furthermore certain point person present congratulate non staff member 1 new job investigator believe abovementione airport staff attempt demonstrate non staff member 1 contact competent person authorize employment
14.pdf,"""Background and Allegations A Kosovo Trust Agency (KTA) Internal Audit Unit (IAU) Internal Memorandum dated 4 October 2004, which described the audit of the procurement of staff uniforms by Pristina Airport, raised concerns as to the reasoning for the cancellation of a competitive tender for summer and winter uniforms (Pristina Airport Reference No. PEAP/CG/UAS/19/05/04) and the subsequent issue of a single source contract for summer uniforms for new staff (Pristina Airport Reference No. SHKTA/CG/16-04).
In the IAU memo, reference is made to a letter of complaint dated 28-06-04 from Vendor 1, a company that competed for the tender and that was subsequently awarded the single source contract to supply summer uniforms. The author of the letter, Vendor 1 Manager, alleged the existence of rumours and witnesses in the matter of the bribery of Procurement Officer 1, Pristina Airport, and the Finance Officer, Pristina Airport, by one of Vendor 1 Manager’s competitors in the tender process, Vendor 2. Vendor 1 Manager’s letter also identified his intention to seek legal action against Procurement Officer 1 for allegedly violating “the procurement rules” by: replacing a member of the Bid Evaluation Committee in the competitive tender; allowing a member of the Finance Department, the Finance Officer, to sit on the committee; and favouring Vendor 2 in the tender process.
During the course of the investigation, Procurement Officer 1 told the ITF that, following the cancellation of the competitive tender, Vendor 1 Manager had made utterances to him/her that Procurement Officer 1 had interpreted as a threat. The ITF commenced an inquiry into the allegations regarding the procurement process and now provides a summary of the case and its findings and recommendations.""",background allegations kosovo trust agency kta internal audit unit iau internal memorandum date 4 october 2004 describe audit procurement staff uniform pristina airport raise concern reasoning cancellation competitive tender summer winter uniform pristina airport reference peap cg uas 19 05 04 subsequent issue single source contract summer uniform new staff pristina airport reference shkta cg 1604 iau memo reference letter complaint date 280604 vendor 1 company compete tender subsequently award single source contract supply summer uniform author letter vendor 1 manager allege existence rumour witness matter bribery procurement officer 1 pristina airport finance officer pristina airport vendor 1 managers competitor tender process vendor 2 vendor 1 managers letter identify intention seek legal action procurement officer 1 allegedly violate procurement rule replace member bid evaluation committee competitive tender allow member finance department finance officer sit committee favour vendor 2 tender process course investigation procurement officer 1 tell itf follow cancellation competitive tender vendor 1 manager utterance procurement officer 1 interpret threat itf commence inquiry allegation procurement process provide summary case finding recommendation
14.pdf,"Background and Allegations A Kosovo Trust Agency (KTA) Internal Audit Unit (IAU) Internal Memorandum dated 4 October 2004, which described the audit of the procurement of staff uniforms by Pristina Airport, raised concerns as to the reasoning for the cancellation of a competitive tender for summer and winter uniforms (Pristina Airport Reference No. PEAP/CG/UAS/19/05/04) and the subsequent issue of a single source contract for summer uniforms for new staff (Pristina Airport Reference No. SHKTA/CG/16-04). In the IAU memo, reference is made to a letter of complaint dated 28-06-04 from Vendor 1, a company that competed for the tender and that was subsequently awarded the single source contract to supply summer uniforms. The author of the letter, Vendor 1 Manager, alleged the existence of rumours and witnesses in the matter of the bribery of Procurement Officer 1, Pristina Airport, and the Finance Officer, Pristina Airport, by one of Vendor 1 Manager’s competitors in the tender process, Vendor 2. Vendor 1 Manager’s letter also identified his intention to seek legal action against Procurement Officer 1 for allegedly violating “the procurement rules” by: replacing a member of the Bid Evaluation Committee in the competitive tender; allowing a member of the Finance Department, the Finance Officer, to sit on the committee; and favouring Vendor 2 in the tender process. During the course of the investigation, Procurement Officer 1 told the ITF that, following the cancellation of the competitive tender, Vendor 1 Manager had made utterances to him/her that Procurement Officer 1 had interpreted as a threat. The ITF commenced an inquiry into the allegations regarding the procurement process and now provides a summary of the case and its findings and recommendations.",background allegations kosovo trust agency kta internal audit unit iau internal memorandum date 4 october 2004 describe audit procurement staff uniform pristina airport raise concern reasoning cancellation competitive tender summer winter uniform pristina airport reference peap cg uas 19 05 04 subsequent issue single source contract summer uniform new staff pristina airport reference shkta cg 1604 iau memo reference letter complaint date 280604 vendor 1 company compete tender subsequently award single source contract supply summer uniform author letter vendor 1 manager allege existence rumour witness matter bribery procurement officer 1 pristina airport finance officer pristina airport vendor 1 managers competitor tender process vendor 2 vendor 1 managers letter identify intention seek legal action procurement officer 1 allegedly violate procurement rule replace member bid evaluation committee competitive tender allow member finance department finance officer sit committee favour vendor 2 tender process course investigation procurement officer 1 tell itf follow cancellation competitive tender vendor 1 manager utterance procurement officer 1 interpret threat itf commence inquiry allegation procurement process provide summary case finding recommendation
15.pdf,"""Allegation

In July 2004, the Investigation Task Force (ITF) was provided with a copy of a letter dated 28 May 2004, from the Cargo Manager of an Airline to a Staff Member of Public Enterprise Airport Pristina. In the letter, the Cargo Manager referred to several problems relative to an Invoice for April 2004 issued by the Cargo Department of Pristina Airport for the handling of the outgoing mail of a Member State’s KFOR. At the time, Pristina Airport staff could not locate a record of this invoice in the airport’s financial records, and, therefore, the commission of fraud on the part of staff in the Cargo Department was suspected.""",allegation july 2004 investigation task force itf provide copy letter date 28 2004 cargo manager airline staff member public enterprise airport pristina letter cargo manager refer problem relative invoice april 2004 issue cargo department pristina airport handling outgoing mail member states kfor time pristina airport staff locate record invoice airport financial record commission fraud staff cargo department suspect
15.pdf,"""Background

Pristina Airport is the Airline’s cargo handling agent for both imports and exports and the Airline is the Member State’s KFOR’s mail handling agent. Pristina Airport collects mail-handling revenues on behalf of the Airline and deposits these revenues to the airline’s bank account after deducting the appropriate commission.

The issues identified in the letter by the Airline Cargo Manager related to the high rate (€0.50/kg) charged by Pristina Airport for handling outgoing mail; the fact that the Invoice had been incorrectly sent to the Member State’s KFOR instead of their agent, the Airline; and the inappropriate addition of Value Added Tax (VAT), which is not applicable to international traffic.""",background pristina airport airlines cargo handle agent import export airline member states kfors mail handle agent pristina airport collect mailhandle revenue behalf airline deposit revenue airlines bank account deduct appropriate commission issue identify letter airline cargo manager relate high rate 050 kg charge pristina airport handle outgoing mail fact invoice incorrectly send member states kfor instead agent airline inappropriate addition value add tax vat applicable international traffic
16.pdf,"ID/OIOS requested DRA logistics officer 2 to review each individual bid and to explain his/her annotations. DRA logistics officer 2 pointed out that Vendor 4, Vendor 5 and Vendor 6 had offered virtually the same technical device. He/she found out that the “Gotive H41 IB” model offered by Vendor 6 did not substantially differ from the “Gotive H41” model offered by Vendor 4 and Vendor 5. DRA logistics officer 2 stated that the “Gotive H41” model complied with all the requirements laid out in the technical specifications and pointed out that this device was very well protected against environmental impact, notably in the field. According to DRA logistics officer 2, the PDA model offered by Vendor 1 was not a rugged PDA; it did not comply with the IP54 protection standards essential for outdoor use. At first glance, Vendor 1 appeared to be the lowest bidder, because they offered the largest number of PDAs for the stated price ceiling. However, the product did not comply with the technical specifications and hence would be inappropriate for use by KVS veterinarians. As such, the members of the evaluation panel did not short-list Vendor 1 for further examination.",id oio request dra logistic officer 2 review individual bid explain annotation dra logistic officer 2 point vendor 4 vendor 5 vendor 6 offer virtually technical device find gotive h41 ib model offer vendor 6 substantially differ gotive h41 model offer vendor 4 vendor 5 dra logistic officer 2 state gotive h41 model comply requirement lay technical specification point device protect environmental impact notably field accord dra logistic officer 2 pda model offer vendor 1 rugged pda comply ip54 protection standard essential outdoor use glance vendor 1 appear low bidder offer large number pda state price ceiling product comply technical specification inappropriate use kvs veterinarian member evaluation panel shortlist vendor 1 examination
16.pdf,"In terms of the priority selection criteria of the evaluation panel, DRA logistics officer 2 stated that the DRA had advised them to monitor not only the technical specifications but to focus particularly on Section VII of the Bidding Documents “Obligatory Requirements to be fulfilled by the bidders.” DRA logistics officer 2 highlighted the criteria of after-warranty repair service located within Kosovo and repair or replacement within five working days (based on the existing regulations in Kosovo as to notification, registration and recording of information concerning movement of animals within five days of the movement). Therefore, if a PDA device used for the communication of such data broke down and was not replaced within a week, farmers and veterinarians would run the risk of not complying with the law.",term priority selection criterion evaluation panel dra logistic officer 2 state dra advise monitor technical specification focus particularly section vii bidding documents obligatory requirements fulfil bidder dra logistic officer 2 highlight criterion afterwarranty repair service locate kosovo repair replacement work day base exist regulation kosovo notification registration recording information concern movement animal day movement pda device communication datum break replace week farmer veterinarian run risk comply law
16.pdf,"In order to find out why the lowest bidder, Vendor 1, was still not selected, ID/OIOS spoke separately with two members of the bid evaluation panel who explained the evaluation process and why the panel recommended the selected bidder, Vendor 4. ID/OIOS was told that the evaluation panel examined the bid documents submitted by the six pre-qualified bidders and made comments and annotations on the table provided to them by the DRA logistics officer. The evaluation panel relied heavily on the technical expertise of one panel member, DRA logistics officer 2, who was responsible for the evaluation of the technical features of the PDAs offered. DRA logistics officer 2 told ID/OIOS that his/her handwritten entries on the table were based on the discussions of the entire evaluation panel, but that he/she independently verified that the product offered by each bidder did possess the declared features and that he/she checked the technical data submitted by the individual bidders with the product datasheet and brochures included in the bidding documents.",order find low bidder vendor 1 select id oio speak separately member bid evaluation panel explain evaluation process panel recommend select bidder vendor 4 id oio tell evaluation panel examine bid document submit prequalifie bidder comment annotation table provide dra logistic officer evaluation panel rely heavily technical expertise panel member dra logistic officer 2 responsible evaluation technical feature pda offer dra logistic officer 2 tell id oio handwritten entry table base discussion entire evaluation panel independently verify product offer bidder possess declare feature check technical datum submit individual bidder product datasheet brochure include bidding document
16.pdf,"The complainant raised two main issues: firstly, that the bid submitted by Vendor 1, was the lowest bid because it offered the most number of devices within the ceiling price. Secondly, although two other bidders offered the same product as the winning bidder, but at a lower price, they had not been selected. The PRIO preliminary report also identified these issues. ID/OIOS Investigators reviewed all eight bids submitted and noted that DRA logistics officer 1 had disqualified two, Vendor 2 and Vendor 3, because neither the Vendor 2 nor the Vendor 3 bid was substantially responsive in that the total price of the product offered exceeded the price ceiling of €135,000. During his/her pre-qualification of bids, DRA logistics officer 1 noted that Vendor 2 did not include taxes “CIP” Pristina Kosovo as required in the bid document, meaning the total price would exceed the ceiling of €135,000 by more than €17,000; and Vendor 3’s total offer did not include its yearly €16,500 maintenance surcharge fee, causing its bid to exceed the stated price ceiling by more than €15,000.",complainant raise main issue firstly bid submit vendor 1 low bid offer number device ceiling price secondly bidder offer product win bidder low price select prio preliminary report identify issue id oio investigator review bid submit note dra logistic officer 1 disqualify vendor 2 vendor 3 vendor 2 vendor 3 bid substantially responsive total price product offer exceed price ceiling 135000 prequalification bid dra logistic officer 1 note vendor 2 include taxis cip pristina kosovo require bid document mean total price exceed ceiling 135000 17000 vendor 3s total offer include yearly 16500 maintenance surcharge fee cause bid exceed state price ceiling 15000
16.pdf,"In late 2002, the EAR consultant prepared the technical specifications for the PDAs based on the proposal in SPUVESEK’s inception report of August 2002. Based on these specifications, the DRA launched an initial tender in November 2003 for the PDAs, inclusive of both hardware and software. All bids submitted exceeded the amount set aside for the purchase of the PDAs (€170,000), therefore that tender was cancelled in February 2004 based on advice from the Central Procurement Entity (CPE). A second tender for the purchase of the required PDAs was then launched in April 2004, using the same technical specifications. For the second tender, the DRA provided the bidders with a price ceiling of €135,000 and requested that they state the number of devices in total that the company could offer within the price ceiling. On 19 May 2004, the deadline for the submission of bids, the DRA had received eight bids. As required, the bids were opened and certified by members of a bid-opening panel consisting of DRA logistics officer 1, a DRA procurement officer, DRA employee 1 and a DRA finance officer. The complainant told ID/OIOS that the bid opening process occurred without incident and in accordance with correct procedural requirements.",late 2002 ear consultant prepare technical specification pda base proposal spuvesek inception report august 2002 base specification dra launch initial tender november 2003 pda inclusive hardware software bid submit exceed set aside purchase pda 170000 tender cancel february 2004 base advice central procurement entity cpe second tender purchase require pda launch april 2004 technical specification second tender dra provide bidder price ceiling 135000 request state number device total company offer price ceiling 19 2004 deadline submission bid dra receive bid require bid open certify member bidopene panel consist dra logistic officer 1 dra procurement officer dra employee 1 dra finance officer complainant tell id oio bid opening process occur incident accordance correct procedural requirement
16.pdf,"The evidence adduced by the investigation further confirms that the PDAs offered by Vendor 1 did not conform to the technical specifications of the ITB. Although the complainant offered the largest number of PDAs within the stated ceiling price, the PDAs offered were not appropriate for the designated use as set forth in the bid documents. ID/OIOS determined that the procurement exercise was conducted in accordance with the UN Financial Rules and Regulations governing procurement and with UNMIK’s Finance Administrative Instruction 2/1999 on public procurements using KCB funds.
RECOMMENDATION Based on the above, ID/OIOS makes the following the recommendation: Recommendation 1: It is recommended that UNMIK take note of ID/OIOS’ findings and conclusions and advise DRA staff members, DRA employee 2 and DRA logistics officer 1 of the result of this investigation. (ID Rec. IV04/374/01)",evidence adduce investigation confirm pda offer vendor 1 conform technical specification itb complainant offer large number pda stated ceiling price pda offer appropriate designate use set forth bid document id oios determine procurement exercise conduct accordance un financial rules regulations govern procurement unmik finance administrative instruction 2 1999 public procurement kcb fund recommendation base id oios make follow recommendation recommendation 1 recommend unmik note id oios finding conclusion advise dra staff member dra employee 2 dra logistic officer 1 result investigation id rec iv04 374 01
16.pdf,"An internal Pillar II review by the Policy Review and Internal Oversight Unit (PRIO) highlighted possible irregularities in its preliminary report on the procurement exercise with a recommendation for further investigation. This report was provided to ID/OIOS with a request for further investigation. Based on the issues raised in the complaint and subsequently in the PRIO Unit’s preliminary report, ID/OIOS investigated the entire tender process to determine whether any violations of UN rules had occurred.  

The Directorate of Rural Affairs (DRA) is located within UNMIK Civil Administration (Pillar II); it was formed in October 2001 out of the former Department of Agriculture in the Joint Administrative Interim Structure. The DRA comprises Veterinary Services & Veterinary Border Control, Phytosanitary Border Control and Public Forests. The DRA remains a reserved area under Security Council Resolution 1244 and the staff are United Nations staff members subject to the UN Rules and Regulations. Also, the DRA undertakes its own procurement for all  of the divisions within the DRA.  ",internal pillar ii review policy review internal oversight unit prio highlight possible irregularity preliminary report procurement exercise recommendation investigation report provide id oios request investigation base issue raise complaint subsequently prio units preliminary report id oio investigate entire tender process determine violation un rule occur directorate rural affairs dra locate unmik civil administration pillar ii form october 2001 department agriculture joint administrative interim structure dra comprise veterinary services veterinary border control phytosanitary border control public forests dra remain reserve area security council resolution 1244 staff united nations staff member subject un rules regulations dra undertake procurement division dra
16.pdf,"In the preliminary PRIO report, the price estimates as stated in the EAR consultant’s inception report showed five different PDA models with integrated scanner capabilities. The prices of the PDA models shown ranged from USD $323.38 to USD $818.30. ID/OIOS adduced that the initial estimates were of regular PDAs, not the more rugged PDAs specified in the technical specifications and required for use by veterinarians working in inclement weather conditions. ID/OIOS also found that the estimates were obtained from the Internet for the inception report and did not include the features that would make it technically appropriate for the veterinarians in the field. The actual technical specifications prepared by the EAR consultant later envisaged a more rugged, durable product that would be water, dust and drop resistant. The price per unit of “rugged” PDAs, as required by the technical specifications, is higher than the initial estimate made in the inception report. ID/OIOS verified this through Internet research.",preliminary prio report price estimate state ear consultant inception report show different pda model integrate scanner capability price pda model show range usd 32338 usd 81830 id oios adduce initial estimate regular pda rugged pda specify technical specification require use veterinarian work inclement weather condition id oios find estimate obtain internet inception report include feature technically appropriate veterinarian field actual technical specification prepare ear consultant later envisage rugged durable product water dust drop resistant price unit rugged pda require technical specification high initial estimate inception report id oio verify internet research
2.pdf,"The investigation conducted by the ITF clearly documented that Prishtina Airport management failed to perform their duties in accordance with the general principles outlined above. In particular, the use of the assets allocated to the ATCS by the KTA in 2002 was inadequately documented and the performance of the ATCS Finance Office in that respect was unsatisfactory. This poor performance even caused financial damage to the UNMIK Pillar 4 – KTA, as demonstrated in this report. The work of the ATCS Finance Office was under direct supervision of the ATCS Official and the oversight responsibility was in the hands of the Division Manager. Both of them in their respectful capacity failed to perform their duties according to expected standards and they failed to promote the best interest of UNMIK Pillar 4 –KTA, as their employer.",investigation conduct itf clearly document prishtina airport management fail perform duty accordance general principle outline particular use asset allocate atcs kta 2002 inadequately document performance atcs finance office respect unsatisfactory poor performance cause financial damage unmik pillar 4 kta demonstrate report work atcs finance office direct supervision atcs official oversight responsibility hand division manager respectful capacity fail perform duty accord expect standard fail promote good interest unmik pillar 4 kta employer
2.pdf,"Documentation obtained by the ITF from the Prishtina Airport clearly shows that ATCS management failed to introduce, or enforce, rules and regulations that would guarantee proper use of the allocated funds and provided transparent documentation of this process. A significant amount of the cash withdrawals by the ATCS was used for training opportunities for employees of the ATCS, who attended courses in a number of countries including Italy, Canada and the United Kingdom. Therefore, the cash advances were not all related to the ATCS Official’s travel, rather for a significant number of Employees. The necessity of the frequent travel of the ATCS Official remains questionable, as the available documentation does not provide clear proof that the ATCS Official’s travel was business related or justified.",documentation obtain itf prishtina airport clearly show atcs management fail introduce enforce rule regulation guarantee proper use allocate fund provide transparent documentation process significant cash withdrawal atcs training opportunity employee atcs attend course number country include italy canada united kingdom cash advance relate atcs officials travel significant number employee necessity frequent travel atcs official remain questionable available documentation provide clear proof atcs officials travel business relate justify
2.pdf,"The ATCS Official stated that in 2002, he/she was not sufficiently experienced in financial management, therefore he/she hired Finance Officer 1 and Finance Officer 2 who both had educational background and professional experience in this field. He/she said that he/she was sure that the ATCS money was spent in line with the requests, but he/she accepted that the documentation was very poor and unacceptable, even for the minimal standards required. The ATCS Official agreed that he/she and his/her staff were diligent in requesting funds for ATCS operations, however, were generally deficient when addressing the need for proper documentation of the actual expenditures. The ATCS Official indicated that he/she trusted his/her staff; that they were professional; and it was only very recently that he/she realized that he/she should have devoted more effort to their supervision.",atcs official state 2002 sufficiently experience financial management hire finance officer 1 finance officer 2 educational background professional experience field say sure atcs money spend line request accept documentation poor unacceptable minimal standard require atcs official agree staff diligent request fund atcs operation generally deficient address need proper documentation actual expenditure atcs official indicate trust staff professional recently realize devote effort supervision
2.pdf,"The ATCS Official further indicated that his/her superiors approved all the bills that were in the petty cash binders, including, for example: €525,00 “Present for International Staff”; €410,00 “Present for Official 3 (Nokia 8850)”; €918,00 “Palm organizer for the ATCS Official and Official 3”; €1.176,00 “Recharging scratch cards VALA 900 (20*23.52) + (12*58.8)”; €960,00 “Payment for mobile phone” and €940,00 “Rent a car for Head of Department”. The ATCS Official stated that all the presents purchased from petty cash were also approved, however, he/she could not support this claim with any documentation. The ATCS Official added that had those bills not been authorized, the ATCS would have not been able to get further cash as the approval for further cash withdrawals was conditioned by proper documentation and certification of previous spending. He/she insisted that the sums paid for refreshments/food/restaurant bills from the petty cash fund (hundreds of Euros) were all authorized by his/her superiors, but that they did not request written justifications from him/her; the bill was allegedly sufficient proof of expenditure",atcs official indicate superior approve bill petty cash binder include example 52500 present international staff 41000 present official 3 nokia 8850 91800 palm organizer atcs official official 3 117600 recharge scratch card vala 900 202352 12588 96000 payment mobile phone 94000 rent car head department atcs official state present purchase petty cash approve support claim documentation atcs official add bill authorize atcs able cash approval cash withdrawal condition proper documentation certification previous spending insist sum pay refreshment food restaurant bill petty cash fund hundred euros authorize superior request write justification bill allegedly sufficient proof expenditure
2.pdf,"The ITF interviewed the ATCS Official on two occasions and he/she acknowledged that cases 46/2002; 49/2002; 55/2002 and 59/2002 (the time period up to 30 June 2002) all show numerous irregularities. He/she studied those files in detail and concluded that all four contained sufficient information to justify the allocation of money for the planned travel of the ATCS staff, but that the documentation of the expenses was very poor. 

The ATCS Official also acknowledged that cases 01/2002; 05/2002; 06/2002; 07/2002 and 08/2002 (the time period after 01 July 2002) also showed numerous irregularities such as missing bills to prove payments, missing signatures of ATCS staff proving that they had received the per-diem, missing flight ticket and boarding passes proving that the travel was in fact executed. The ITF concluded that it is very likely that those funds were paid to the ATCS employees on per-diem or salaries, however sufficient documentation to prove those payments was not available to the ITF investigators despite numerous attempts made in order to secure such documentation. As a matter of practice, the ATCS Official was formally certifying his/her own expenses during the business trips. The ATCS Official could not provide any acceptable explanations to those irregularities",itf interview atcs official occasion acknowledge case 46 2002 49 2002 55 2002 59 2002 time period 30 june 2002 numerous irregularity study file detail conclude contain sufficient information justify allocation money plan travel atcs staff documentation expense poor atcs official acknowledge case 01 2002 05 2002 06 2002 07 2002 08 2002 time period 01 july 2002 show numerous irregularity miss bill prove payment miss signature atcs staff prove receive perdiem miss flight ticket boarding pass prove travel fact execute itf conclude likely fund pay atcs employee perdiem salary sufficient documentation prove payment available itf investigator despite numerous attempt order secure documentation matter practice atcs official formally certify expense business trip atcs official provide acceptable explanation irregularity
2.pdf,"The Division Manager said that the ATCS Official would bring to him/her a request in which he/she would detail the need for cash and that when the Division Manager found the justification sufficient and in line with needs of the Airport, he/she would approve it. The ATCS Official would then be responsible for the proper use of these funds and keeping the financial records of the expenditure. In fact, the ATCS Official had to sign for the bank check before it could be cashed at the bank and therefore he/she had the cash in his/her “custody”. The Division Manager indicated that it was not possible for him/her to check every bill and invoice; therefore he /she delegated the authority for financial management to the ATCS Official.",division manager say atcs official bring request detail need cash division manager find justification sufficient line need airport approve atcs official responsible proper use fund keep financial record expenditure fact atcs official sign bank check cash bank cash custody division manager indicate possible check bill invoice delegate authority financial management atcs official
2.pdf,"The ITF interviewed Official 1 at Prishtina Airport. He/She stated that in May 2002 he/she travelled with the ATCS Official and Official 3 to the UK in order to negotiate conditions and fine-tune the training arrangements for the ATCS staff (request 46/2002). During this mission they all received free accommodation, all meals were provided as well as transport from Shinfield Park to London upon their return. When he/she returned to Prishtina he/she was not requested to return any of the per-diem, adding that he/she knew that the ATCS Official and Official 3 also did not return any of the allocated funds (€1158)",itf interview official 1 prishtina airport state 2002 travel atcs official official 3 uk order negotiate condition finetune training arrangement atcs staff request 46 2002 mission receive free accommodation meal provide transport shinfield park london return return prishtina request return perdiem add know atcs official official 3 return allocate fund 1158
2.pdf,"BACKGROUND INFORMATION A review of the airport’s bank accounts and documents related to airport operations, contracts, and financial matters revealed a number of cash withdrawals from the ATCS bank account, many of them in €10.000 increments. Between July 2002 and November 2003, an amount of €642.000 was withdrawn in cash. The majority of the withdrawals were identified as being for air travel and related expenses for the then the ATCS Official; similarly for other ATCS employees; and also for the so-called ‘petty cash’ purposes. The forensic audit report of February 2003 highlighted that the ATCS Official travelled frequently and questioned whether the trips were necessary, or were approved. It was established that on 01 July 2002, the new Division Manager, Airport Sector UNMIK Pillar 4 was appointed with overall responsibility for Pristina Airport. The ATCS Official was in charge of the Department, which included day to-day management of the ATCS Finance Office. Finance Officer 1 and Finance Officer 2 were employed as ATCS Finance Officers, both of them directly supervised by the ATCS Official. It should be also mentioned that the ATCS Official, Finance Officer 1 and Finance Officer 2 were working at ATCS prior to the arrival of the Division Manager.",background information review airport bank account document relate airport operation contract financial matter reveal number cash withdrawal atcs bank account 10000 increment july 2002 november 2003 642000 withdraw cash majority withdrawal identify air travel relate expense atcs official similarly atcs employee socalled petty cash purpose forensic audit report february 2003 highlight atcs official travel frequently question trip necessary approve establish 01 july 2002 new division manager airport sector unmik pillar 4 appoint overall responsibility pristina airport atcs official charge department include day today management atcs finance office finance officer 1 finance officer 2 employ atcs finance officer directly supervise atcs official mention atcs official finance officer 1 finance officer 2 work atcs prior arrival division manager
2.pdf,"IV. INVESTIGATIVE DETAILS
The ITF investigation was focused on the examination of two main areas; a) travel arrangements and cash expenses related to the official travel of ATCS staff and b) handling of the so-called ATCS petty cash. During this investigation the ITF Investigators:
• Reviewed existing procedures related to the cash withdrawals in 2002 and 2003 in view of establishing whether those procedures were properly followed and enforced by the management of ATCS; • Examined ATCS bank account and related records; • Examined the cash withdrawal requests, supporting documentation, and receipts including airline tickets, hotel bills, and other receipts;",iv investigative details itf investigation focus examination main area travel arrangement cash expense relate official travel atcs staff b handling socalled atcs petty cash investigation itf investigator review exist procedure relate cash withdrawal 2002 2003 view establish procedure properly follow enforce management atcs examined atcs bank account relate record examine cash withdrawal request support documentation receipt include airline ticket hotel bill receipt
2.pdf,"The ITF investigation was focused on the examination of two main areas; a) travel arrangements and cash expenses related to the official travel of ATCS staff and b) handling of the so-called ATCS petty cash. During this investigation the ITF Investigators:
• Reviewed the so-called petty cash files and related documentation; • Cross-checked the staff details on record and their employment roles during the time period in question, including their official right to authorize cash withdrawals from ATCS bank account; • Compared signatures found on the examined documents against the signatures on the staff files; • Cross-checked specific sums against the airport “excel” cash spreadsheets and the master bank account. (Note: the “excel” spreadsheet system has been in place since mid-2002 and is used to maintain a “cashbook”); • Interviewed ATCS staff, in particular the Division Manager; the ATCS Officials; and Finance Officers 1 and 2. ITF Investigators also interviewed Official 1 at Prishtina Airport, and the Official 2 at Prishtina Airport.",itf investigation focus examination main area travel arrangement cash expense relate official travel atcs staff b handling socalled atcs petty cash investigation itf investigator review socalled petty cash file related documentation crosschecke staff detail record employment role time period question include official right authorize cash withdrawal atcs bank account compare signature find examine document signature staff file crosschecke specific sum airport excel cash spreadsheet master bank account note excel spreadsheet system place mid2002 maintain cashbook interview atcs staff particular division manager atcs officials finance officers 1 2 itf investigator interview official 1 prishtina airport official 2 prishtina airport
2.pdf,"During the review of available documentation, the ITF investigators identified a number of problems related to the existing procedures and practices at ATCS Finance Office. Having finalized the document review they interviewed available ATCS staff that was directly involved in approving the cash withdrawals and subsequently ATCS staff that handled the cash and related documentation at the ATCS Finance Office, or that travelled on training to Italy and the United Kingdom. The ITF interviewed Finance Officer 1, working at ATCS Finance Office during the period September 2000 to December 2003. Finance Officer 1 described the procedures that were in place during 2002 and 2003 and identified Employee 1, Employee 2 and the Division Manager as “A” class signatories and Employee 3, Employee 4, Employee 5 and the ATCS Official as “B” class signatories for the UNMIK Aviation Transport and Airport Prishtina bank accounts. Those listed “A” class signatories were the only people authorized to withdraw cash from the ATCS bank accounts.",review available documentation itf investigator identify number problem relate exist procedure practice atcs finance office having finalize document review interview available atcs staff directly involve approve cash withdrawal subsequently atcs staff handle cash related documentation atcs finance office travel training italy united kingdom itf interview finance officer 1 work atcs finance office period september 2000 december 2003 finance officer 1 describe procedure place 2002 2003 identify employee 1 employee 2 division manager class signatory employee 3 employee 4 employee 5 atcs official b class signatory unmik aviation transport airport prishtina bank account list class signatory people authorize withdraw cash atcs bank account
